City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Tynda,RU,55.1667,124.7167,1.4,96,100,1.52,overcast clouds
335,Gizo,SB,-8.103,156.8419,84.6,71,30,6.64,light rain
336,East London,ZA,-33.0153,27.9116,65.82,77,75,20.13,broken clouds
337,Pangnirtung,CA,66.1451,-65.7125,4.14,88,93,3.78,overcast clouds
338,Okhotsk,RU,59.3833,143.3,10.89,90,99,7.02,overcast clouds
339,Saint Anthony,US,45.0205,-93.218,30.65,90,100,9.22,mist
340,Kumluca,TR,36.3703,30.2869,62.56,33,52,6.17,broken clouds
341,Havelock,US,34.8791,-76.9013,51.78,78,0,8.05,clear sky
342,Jiehu,CN,35.5428,118.455,44.89,54,3,3.38,clear sky
343,Harnoli,PK,32.2792,71.5539,58.08,60,0,8.52,clear sky
344,Naryan-Mar,RU,67.6713,53.087,3.29,99,89,3.24,overcast clouds
