City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
497,Nishihara,JP,72.68,26.1842,127.7558,broken clouds,Minshuku Agaihama
506,San Rafael,AR,72.37,-34.6177,-68.3301,clear sky,Hotel San Rafael
507,Guadalupe Victoria,MX,72.95,32.2869,-115.105,broken clouds,Hotel Dial
513,Abomey,BJ,72.86,7.1829,1.9912,clear sky,Residence Hotel Marie Emmanuella
514,Clarence Town,AU,77.14,-32.5833,151.7833,clear sky,River Downs Cottage
515,Prado,BR,76.46,-17.3411,-39.2208,scattered clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
517,Cayenne,GF,80.64,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
518,Conde,BR,78.26,-7.2597,-34.9075,few clouds,Pousada Beija Flor
523,Atar,MR,83.61,20.5169,-13.0499,scattered clouds,Oumou Elghoura
527,Ballina,AU,80.78,-28.8667,153.5667,clear sky,Ramada Hotel & Suites by Wyndham Ballina Byron
529,Mangrol,IN,75.11,21.1167,70.1167,clear sky,Hotel The Royal Honours
531,Manta,EC,73.18,-0.95,-80.7333,clear sky,Balandra Hotel
534,Biak,ID,81.68,-0.9131,122.8766,overcast clouds,Penginapan Kim
538,Kranuan,TH,75.42,16.7067,103.0788,overcast clouds,หอพักพรวิมล
540,Bulungu,CD,70.09,-4.55,18.6,overcast clouds,Maison MC Michel
541,Kantunilkin,MX,75.74,21.0917,-87.45,few clouds,Posada Paraiso
544,El Cobre,CU,81.84,20.0489,-75.9469,scattered clouds,Hotel El Cobre
547,Galle,LK,75.09,6.0367,80.217,overcast clouds,Amangalla
548,Kloulklubed,PW,77.5,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
550,Grand-Santi,GF,75.88,4.25,-54.3833,broken clouds,Hotel La Villa Couacou
556,Matara,LK,73.58,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
559,Waw,SS,74.26,7.7029,27.9953,broken clouds,Universal Gab Hotel
561,Cumadcad,PH,82.13,12.9806,123.7892,moderate rain,BERMAS FAMILY
564,Kontagora,NG,72.72,10.3999,5.4695,scattered clouds,Queens Guest Inn
565,Sabang,ID,80.11,5.8933,95.3214,light rain,Hotel Citra
566,Sydney,AU,75.58,-33.8679,151.2073,clear sky,The Grace Sydney
572,Lethem,GY,80.08,3.3803,-59.7968,broken clouds,Savannah Inn
579,Dubai,AE,76.93,25.2582,55.3047,clear sky,"Radisson Blu Hotel, Dubai Deira Creek"
582,Meulaboh,ID,74.5,4.1363,96.1285,overcast clouds,Kost Pria
586,Ilhabela,BR,74.86,-23.7781,-45.3581,overcast clouds,Ilha Flat Hotel
591,Seminole,US,75.47,28.7086,-81.2081,overcast clouds,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
593,Nisia Floresta,BR,79.61,-6.0911,-35.2086,few clouds,Rancho Crepusculo
602,Caiaponia,BR,70.09,-16.9567,-51.8103,broken clouds,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
604,Karratha,AU,78.53,-20.7377,116.8463,light rain,ibis Styles Karratha
605,Consuelo,PH,83.46,10.6348,124.301,overcast clouds,Mangodlong Paradise Beach Resort
606,Eyl,SO,77.02,7.9803,49.8164,broken clouds,EYL AQUE SYSTEM
613,Pangkalanbuun,ID,75.83,-2.6833,111.6167,overcast clouds,Grand Kecubung Hotel
616,Itapetininga,BR,71.64,-23.5917,-48.0531,scattered clouds,Hotel Poloni
619,Fayaoue,NC,76.64,-20.65,166.5333,few clouds,Chez Dydyce Guesthouse
631,Porto Seguro,BR,77.52,-16.4497,-39.0647,scattered clouds,Porto Cálem Praia Hotel
634,Palu,ID,77.49,-0.8917,119.8707,overcast clouds,Hotel Santika Palu
636,Yenagoa,NG,76.01,4.9247,6.2642,broken clouds,Aridolf Resort Wellness and Spa
638,Sisophon,KH,76.28,13.5859,102.9737,overcast clouds,Pyramid Hotel
639,Balikpapan,ID,76.19,-1.2675,116.8289,light rain,Swiss-Belhotel Balikpapan
640,Abeche,TD,72.61,13.8292,20.8324,broken clouds,Assaleh Hamdan Haroune
642,Sulangan,PH,82.98,11.1373,123.7228,overcast clouds,Maia's Beach Resort
644,Chau Doc,VN,77.2,10.7,105.1167,overcast clouds,JADE AND SAPPHIRE GUESTHOUSE
646,Santo Domingo,DO,79.03,18.5001,-69.9886,broken clouds,Cabañas City Heart
659,Palauig,PH,83.55,15.435,119.9045,broken clouds,Villa Raphael Resort
661,Marawi,PH,75.07,7.9986,124.2928,overcast clouds,Derogongan Residence
662,Sampit,ID,77.23,-2.5333,112.95,light rain,Aquarius Boutique Hotel Sampit
670,Bacolod,PH,82.98,10.6667,122.95,overcast clouds,Planta Hotel & Residences
